sepal_length,sepal_width,petal_length,petal_width,sepal_area,species
6.9,3.2,5.7,2.3,22.080000000000002,virginica
5.6,2.8,4.9,2.0,15.679999999999998,virginica
7.7,2.8,6.7,2.0,21.56,virginica
6.3,2.7,4.9,1.8,17.01,virginica
6.7,3.3,5.7,2.1,22.11,virginica
7.2,3.2,6.0,1.8,23.040000000000003,virginica
6.2,2.8,4.8,1.8,17.36,virginica
6.1,3.0,4.9,1.8,18.299999999999997,virginica
6.4,2.8,5.6,2.1,17.919999999999998,virginica
7.2,3.0,5.8,1.6,21.6,virginica
7.4,2.8,6.1,1.9,20.72,virginica
7.9,3.8,6.4,2.0,30.02,virginica
6.4,2.8,5.6,2.2,17.919999999999998,virginica
6.3,2.8,5.1,1.5,17.639999999999997,virginica
6.1,2.6,5.6,1.4,15.86,virginica
7.7,3.0,6.1,2.3,23.1,virginica
6.3,3.4,5.6,2.4,21.419999999999998,virginica
6.4,3.1,5.5,1.8,19.840000000000003,virginica
6.0,3.0,4.8,1.8,18.0,virginica
6.9,3.1,5.4,2.1,21.39,virginica
6.7,3.1,5.6,2.4,20.77,virginica
6.9,3.1,5.1,2.3,21.39,virginica
5.8,2.7,5.1,1.9,15.66,virginica
6.8,3.2,5.9,2.3,21.76,virginica
6.7,3.3,5.7,2.5,22.11,virginica
6.7,3.0,5.2,2.3,20.1,virginica
6.3,2.5,5.0,1.9,15.75,virginica
6.5,3.0,5.2,2.0,19.5,virginica
6.2,3.4,5.4,2.3,21.08,virginica
5.9,3.0,5.1,1.8,17.700000000000003,virginica
